Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID,Latitude,Longitude,Geocoding_Query,Geocoding_Status
24237,,"NO 45, GA Road, Old Washermanpet",C.S.I.Rainy Multi Speciality Hospital,"NO 45, GA Road, Old Washermanpet",Tamil Nadu,Chennai,0,600 021,0,0,0,0,0,0,0,0,"adminoffice@csirainyhospital.com, Contact@csirainyhospital.com",0,http://csirainyhospital.com/,"Obstetrics and Gynecology, Medicine, Surgery, Pediatric, Dentistry, Ophthalmology, ENT, Orthopedic, Anesthesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.1178884,80.2909912,"C.S.I.Rainy Multi Speciality Hospital, Chennai, Tamil Nadu, India",Found
24243,,"No.107, A Block, 3rd Avenue, Anna Nagar Roundana","Dr.Agarwal's Eye Hospital Ltd., Anna Nagar","No.107, A Block, 3rd Avenue, Anna Nagar Roundana",Tamil Nadu,Chennai,Anna Nagar,600102,0,0,0,0,0,0,0,0,annanagar@dragarwal.com,0,http://www.dragarwal.com/,"Cataract, Cornea and Refractive, Cornea, Lasik, Refractive, Contact Lens, Retina, Orbit and Oculoplasty, Glaucoma, Uvea, Neuro Ophthalmology, Squint and Pediatric Ophthalmology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0847414,80.2219681,"Dr.Agarwal's Eye Hospital Ltd., Anna Nagar, Chennai, Tamil Nadu, India",Found
24245,,"No.4, West Mada Church Street",Diabetes Research Centre and M.V.Hospital For Diabetes,"No.4, West Mada Church Street",Tamil Nadu,Chennai,Royapuram,600013,0,0,0,0,0,1800 425 0005,0,0,"drvijay@mvdiabetes.com, appointments@mvdiabetes.com",0,http://www.mvdiabetes.com/,"Diabetes Care and Education, Diabetes Heart Evaluation, Preventive Diabetes Foot Care (Podiatry), Diabetic Eye Care, Appropriate Dental Care for diabetic patients, Diabetes Neuropathy Clinic, State of Art Diagnostic Laboratory, Special Diabetes Counselling, Nutrition and Diet Counselling, Impotence Clinic, Obesity and Lifestyle Counselling, Pain Clinic for special problems in diabetic patients like frozen shoulder, Special Yoga classes for diabetes control, Trained Orthotist and complete In-House Footwear manufacturing Unit for special needs of diabetic patients with all types of foot problems, Multi-disciplinary diabetic Foot clinic with all surgical experts, Dia-Shoppe with products and medicines for diabetes treatment, Weight Management Clinic, Women Wellness Clinic, Healthy Heart Clinic, Special clinic for children with diabetes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"044 25954913, 044 25954915, 044 6561 2288, 044 6561 2299",0,0,0,0,0,33,603,13.1119458,80.2952072,"Diabetes Research Centre and M.V.Hospital For Diabetes, Chennai, Tamil Nadu, India",Found
24248,,"No.52, First Main Road, Gandhi Nagar, Adyar",Fortis Malar Hospital,"No.52, First Main Road, Gandhi Nagar, Adyar",Tamil Nadu,Chennai,Adyar,600020,0,044 4933 4933,0,0,0,0,0,0,contactus.malar@fortishealthcare.com,0,http://www.fortismalar.com/,"Heart Care, Centre for Heart Failure Management, Cardiac Emergency Care, Brain and Spine Care, Centre for Comprehensive Epilepsy Care, Bone and Joint Care, Centre for Knee Replacement, Nephro and Uro Care, Digestive Care, Women Care, Child care, Associate Specialties, Preventive health checks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0101759,80.2586997,"Fortis Malar Hospital, Chennai, Tamil Nadu, India",Found
24249,,"R 30 C, Ambattur Industrial Estate Road",Frontier Lifeline Hospital,"R 30 C, Ambattur Industrial Estate Road",Tamil Nadu,Chennai,Mogappair,600101,0,0,0,0,0,0,0,0,info@frontierlifeline.com,0,http://www.frontierlifeline.com/,"Cardiology, Cardiac Surgery, Cyanotic and Acyanotic Heart Diseases (Simple and Complex), Vascular Surgery, Gastroenterology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0875243,80.1857322,"Frontier Lifeline Hospital, Chennai, Tamil Nadu, India",Found
24250,,"19, K.B Dasan Road (SIET College Road), Alwarpet",Girishwari Hospital Pvt Ltd,"19, K.B Dasan Road (SIET College Road), Alwarpet",Tamil Nadu,Chennai,Alwarpet,600018,0,044 4760 0600,0,0,0,0,0,0,"girishwarihospital@gmail.com, infogirishwarihospital@gmail.com, enquiry@girishwarihospital.com",0,http://girishwarihospital.com/,"Obesity and Bariatric Surgery, General Surgery and Laparoscopic Surgery, Emergency care, Obstetrics and Gynaecology, Orthopaedics, Onocology, Neurology and Neurosurgery, Nephrology and Urology, General and Laparoscopic Surgery, Obstetrics and Gynaecology, Reproductive Technology, Paediatrics, Cardiology, Orthopaedics, Nephrology and Urology, Medical and Surgical Gastroenterology, Obesity and Bariatric, Surgery, Oncology, Neurology and Neurosurgery, Psychiatry, ENT, Dermatology and Cosmetology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0349787,80.2519137,"Girishwari Hospital Pvt Ltd, Chennai, Tamil Nadu, India",Found
24253,,"372, Poonamallee High Road",Guest Hospital,"372, Poonamallee High Road",Tamil Nadu,Chennai,Kilpauk,600010,0,0,0,0,0,0,0,0,info@guesthospital.com,0,http://www.guesthospital.com/,"Urology, Diabetology, Obstetrics and Gynecology, Orthopedics, Ortho Biologicals, Plastic Surgery, Neurology, Nephrology, Neurosurgery, Medical Oncology, Surgical Oncology, ENT, Medical Gastroenterology, Surgical Gastroenterology, Cardiology, Intensive Care, Anaesthesia, Pediatrics, General Surgery, Vascular Surgery, Ophthalmology, Laparoscopic Surgery","Laser Surgery, Laparoscopy Surgery, LabourWard, Neonatal Ward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"044 26413420, 044 26411656, 044 26425296, 044 26425528",0,0,0,0,0,33,603,13.0772244,80.2387532,"Guest Hospital, 372, Poonamallee High Road, Chennai, Tamil Nadu, India",Found
24260,,"786 Anna Salai, CIT Nagar West",Huma Specialists Hospital and Research Centre Pvt Ltd,"786 Anna Salai, CIT Nagar West",Tamil Nadu,Chennai,Nandanam,600035,0,0,0,0,0,0,0,0,admin@humahospital.com,0,http://www.humahospital.com/,"Internist, Endocrinologist, Urologist, Ophthalmologist, Neurologist, General Surgeon, Radiologist, General Preactitioner, Cardiologist, Obstetrician and Gynaecologist, Dermatologist, Pediatrician and Neonatologist, Rheumatologist, Cosmetologist (Plastic Surgeon), Orthopaedician",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0282655,80.235353,"Huma Specialists Hospital and Research Centre Pvt Ltd, Chennai, Tamil Nadu, India",Found
24261,,"34-37, Kalki Krishnamurthy Salai",Impcops Hospital,"34-37, Kalki Krishnamurthy Salai",Tamil Nadu,Chennai,Thiruvanmiyur,600041,0,0,0,0,0,0,0,0,"impcops@dataone.in, contact@impcops.org",0,http://www.impcops.org/,0,"Siddha, Ayurveda, Unani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,12.9931653,80.257204,"Impcops Hospital, Chennai, Tamil Nadu, India",Found
24262,,"No.3, Kothanda Nadar Nagar, Sriperumbudur, Nenmeli",Jaya Hospital,"No.3, Kothanda Nadar Nagar, Sriperumbudur, Nenmeli",Tamil Nadu,Chennai,Kancheepuram,602105,0,0,0,0,0,0,0,0,"info@jayahospital.com, jayahospitals@gmail.com",0,http://www.jayahospital.com/,0,"General Surgery, Orthopeadics, General Medicine, Plastic Surgery, Obstetrics and Gynecology, Diabetologist, ENT, Radiologist, Ophthalmology, Ultrasound, Scan, Urology, Dentistry, Dermatologist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0027883,80.207025,"Jaya Hospital, Chennai, Tamil Nadu, India",Found
24270,,"No.15, P.S.Sivasamy Salai Road, P.S.Sivasamy Salai",Laksha Hospital,"No.15, P.S.Sivasamy Salai Road, P.S.Sivasamy Salai",Tamil Nadu,Chennai,Mylapore,600004,0,044 24997956,0,0,0,0,0,0,"admin@lakshahospitals.com, stemcell@lakshahospitals.com",0,http://www.lakshahospitals.com/,"General and Laparoscopic Surgery, Orthopaedic Surgery, Emergency and Critical Care, Psychiatry, Paediatrics, General Medicine, Obstetrics and Gynaecology, Anasthesiology, Nephrology, Urology, Neurosurgery, Cardiology, Pulmonology, Ophthalmology, Diet Counselling/Dietetics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0435469,80.2636349,"Laksha Hospital, Chennai, Tamil Nadu, India",Found
24271,,No.121 G.N.Chetty Road,Laser and Laparascopic Hospital,No.121 G.N.Chetty Road,Tamil Nadu,Chennai,T Nagar,600017,0,0,0,0,0,0,0,0,info@drashokchennai.com,0,http://www.drashokchennai.com/,"Cosmetic and Plastic Surgery, Dentistry, Dialysis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0430125,80.2371521,"Laser and Laparascopic Hospital, Chennai, Tamil Nadu, India",Found
